year,detected,total,perc
2015,6,1028,0.0058
2016,4,1160,0.0034
2017,15,1164,0.0129
2018,27,1262,0.0214
2019,30,1184,0.0253
2020,21,1687,0.0124
2021,33,1319,0.025
2022,28,1197,0.0234
2023,2,75,0.0267
